retriever,n,parse_success,tool_parse_success,claim_accuracy,scope_accuracy,evidence_validity,contaminated_citation_rate,rejected_contaminated_rate,independent_evidence_score,provenance_recovery_f1,escape_rate,primary_recovery_rate,valid_primary_support_rate,generated_lore_overclaim,correct_insufficient,overconfident_wrong,confidence,tool_use_rate,trace_rate,compare_versions_rate,search_contradictions_rate,primary_request_rate,useful_tool_rate,tool_diversity,cost_usd,ece
bm25_top12,80,1.0,1.0,0.8625,0.1875,0.7625,0.14270833333333333,0.6222916666666667,0.8879166666666667,0.08601780164280164,0.725,0.7,0.6125,0.0,0.2,0.0,0.73625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042576749999999997,0.16375
bm25_top8,80,1.0,1.0,0.7875,0.1875,0.6708333333333333,0.26822916666666663,0.5916666666666667,0.8744791666666666,0.26676406926406926,0.6375,0.6,0.5458333333333333,0.0,0.2,0.0125,0.7150000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043816125,0.14749999999999994
heuristic_root_dedup_top8,80,0.9875,1.0,0.95,0.2125,0.825,0.0890625,0.6579166666666667,0.8716964285714285,0.33558205683205683,0.7875,0.8,0.6625,0.0,0.2,0.0,0.77125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040778250000000004,0.17875000000000002
hygienic_combo_top8,80,1.0,1.0,0.9875,0.2,0.95,0.0421875,0.6755208333333333,0.971875,0.31413336663336666,0.9375,0.8,0.8,0.0,0.2,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035802375,0.17500000000000007
primary_preserve_top8,80,0.9875,1.0,0.9875,0.1875,0.9625,0.034375,0.71875,0.9717708333333333,0.30891754079254075,0.95,0.8,0.7875,0.0,0.2,0.0,0.786875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045088875,0.20062499999999997
