model,schema_variant,prompt_condition,n,belief_correctness_rate,rejected_pollutant_rate,polluted_supporting_evidence_rate,dual_role_pollutant_rate,full_escape,role_escape
claude-opus-4-7,clarified_schema,all,40,1.0,1.0,0.0,0.0,,1.0
gemini-3.1-pro-preview,clarified_schema,all,40,1.0,1.0,0.0,0.0,,1.0
gpt-5.4,clarified_schema,all,40,1.0,1.0,0.0,0.0,,1.0
claude-opus-4-7,current_schema,all,40,1.0,1.0,0.0,0.0,0.6,
gemini-3.1-pro-preview,current_schema,all,40,1.0,1.0,0.0,0.0,0.425,
gpt-5.4,current_schema,all,40,1.0,1.0,0.9,0.875,0.1,
