model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
openai/gpt-5.5,hygienic_combo,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162500000000001,0.017790416666666666,1.0,0.08374999999999988
openai/gpt-5.5,naive_bm25,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8858333333333334,0.017519791666666666,1.0,0.11416666666666664
openai/gpt-5.5,primary_preserve,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175,0.018789791666666666,1.0,0.08250000000000002
