grouping,group,n_rows,n_labeled,semantically_useful_action_rate,machine_executable_action_rate,exact_target_present_rate,required_action_type_present_rate,contradiction_search_needed_rate,primary_search_needed_rate,trace_source_needed_rate,scorer_too_strict_rate
overall,all,50,0,,,,,,,,
condition,buried_primary,10,0,,,,,,,,
condition,clean,10,0,,,,,,,,
condition,conflicting_evidence,10,0,,,,,,,,
condition,false_consensus,10,0,,,,,,,,
condition,generated_lore,10,0,,,,,,,,
model,claude-opus-4-7,40,0,,,,,,,,
model,deepseek-v4-pro,10,0,,,,,,,,
