retriever,strategy,n,parse_success,tool_parse_success,claim_accuracy,diagnostic_macro_f1,stale_recall,conflict_recall,generated_lore_recall,no_primary_precision,citation_laundering_recall,source_independence_accuracy,unsafe_scope_miss_rate,escape_rate,contaminated_citation_rate,compare_versions_rate,useful_compare_versions_rate,trace_rate,search_contradictions_rate,primary_request_rate,hidden_label_leakage,overconfident_wrong_rate,confidence,cost_usd,ece
bm25_top8,evidence_diagnostics_v4,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0,0.268
bm25_top8,forced_triage_tools,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.125,0.125,0.3333333333333333,0.5,1.0,0.0,0.0,0.725,0.0,0.275
bm25_top8,route_then_answer_v1,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.725,0.0,0.275
hygienic_combo_top8,evidence_diagnostics_v4,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0,0.268
hygienic_combo_top8,static_hygienic_combo,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.275
primary_preserve_top8,evidence_diagnostics_v4,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0,0.268
