strategy,n,parse_success,tool_parse_success,claim_accuracy,scope_accuracy,evidence_validity,contaminated_citation_rate,rejected_contaminated_rate,independent_evidence_score,provenance_recovery_f1,escape_rate,primary_recovery_rate,valid_primary_support_rate,generated_lore_overclaim,correct_insufficient,overconfident_wrong,confidence,tool_use_rate,trace_rate,compare_versions_rate,search_contradictions_rate,primary_request_rate,useful_tool_rate,tool_diversity,cost_usd,ece
forced_primary_append,48,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9943181818181818,1.0,0.75,0.75,0.0,0.25,0.0,0.6925,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.3075
forced_triage_tools,48,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9943181818181818,1.0,0.75,0.75,0.0,0.25,0.0,0.6925,1.0,0.3333333333333333,0.125,0.5,1.0,0.75,0.9583333333333334,0.0,0.3075
static_hygienic_combo,48,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9791666666666666,1.0,0.75,0.75,0.0,0.25,0.0,0.6925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075
tool_agent_3call_policy,48,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9943181818181818,1.0,0.75,0.75,0.0,0.25,0.0,0.6925,1.0,0.75,0.125,0.6666666666666666,1.0,0.75,1.2995614587540076,0.0,0.3075
