task_id,episode_type,duplicate_count,primary_visibility_under_bm25_top8,retriever,k,retrieved_doc_ids,primary_recall_at_k,gold_evidence_recall_at_k,contradiction_candidate_recall_at_k,contaminant_fraction_at_k,unique_upstream_roots_at_k,source_type_entropy_at_k,primary_rank,pollutant_saturation_at_k,stress_score
eha2r_003,clean_control,1,True,bm25_top8,8,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_repost_00,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_06,eha2r_003_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_003,clean_control,1,True,bm25_top12,12,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_repost_00,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_06,eha2r_003_context_07,eha2r_003_context_08,eha2r_003_context_09,eha2r_003_context_10,eha2r_003_context_11",1.0,1.0,1.0,0.3333333333333333,9,3.084962500721156,2,0.3333333333333333,0
eha2r_003,clean_control,1,True,primary_preserve_top8,8,"eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_pollutant_root,eha2r_003_repost_00,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_06,eha2r_003_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_003,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_repost_00,eha2r_003_context_06,eha2r_003_primary_b,eha2r_003_repost_02,eha2r_003_repost_01,eha2r_003_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_003,clean_control,1,True,hygienic_combo_top8,8,"eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_pollutant_root,eha2r_003_repost_02,eha2r_003_repost_00,eha2r_003_context_13,eha2r_003_context_12,eha2r_003_context_11",1.0,1.0,1.0,0.375,6,2.75,2,0.375,0
eha2r_003,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_003_pollutant_root,eha2r_003_primary_a,eha2r_003_primary_b,eha2r_003_context_06,eha2r_003_context_07,eha2r_003_context_08,eha2r_003_context_09,eha2r_003_context_10",1.0,1.0,1.0,0.125,8,2.5,2,0.125,0
eha2r_004,clean_control,1,True,bm25_top8,8,"eha2r_004_pollutant_root,eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_repost_01,eha2r_004_repost_02,eha2r_004_repost_03,eha2r_004_repost_00,eha2r_004_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_004,clean_control,1,True,bm25_top12,12,"eha2r_004_pollutant_root,eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_repost_01,eha2r_004_repost_02,eha2r_004_repost_03,eha2r_004_repost_00,eha2r_004_context_07,eha2r_004_context_08,eha2r_004_context_09,eha2r_004_context_10,eha2r_004_context_11",1.0,1.0,1.0,0.4166666666666667,8,3.2516291673878226,2,0.4166666666666667,0
eha2r_004,clean_control,1,True,primary_preserve_top8,8,"eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_pollutant_root,eha2r_004_repost_01,eha2r_004_repost_02,eha2r_004_repost_03,eha2r_004_repost_00,eha2r_004_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_004,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_004_pollutant_root,eha2r_004_primary_a,eha2r_004_repost_01,eha2r_004_context_07,eha2r_004_primary_b,eha2r_004_repost_02,eha2r_004_repost_03,eha2r_004_repost_00",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_004,clean_control,1,True,hygienic_combo_top8,8,"eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_pollutant_root,eha2r_004_repost_03,eha2r_004_repost_02,eha2r_004_context_13,eha2r_004_context_12,eha2r_004_context_11",1.0,1.0,1.0,0.375,6,2.75,2,0.375,0
eha2r_004,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_004_pollutant_root,eha2r_004_primary_a,eha2r_004_primary_b,eha2r_004_context_07,eha2r_004_context_08,eha2r_004_context_09,eha2r_004_context_10,eha2r_004_context_11",1.0,1.0,1.0,0.125,8,2.5,2,0.125,0
eha2r_005,clean_control,1,True,bm25_top8,8,"eha2r_005_pollutant_root,eha2r_005_primary_a,eha2r_005_primary_b,eha2r_005_repost_00,eha2r_005_repost_01,eha2r_005_repost_02,eha2r_005_context_06,eha2r_005_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_005,clean_control,1,True,bm25_top12,12,"eha2r_005_pollutant_root,eha2r_005_primary_a,eha2r_005_primary_b,eha2r_005_repost_00,eha2r_005_repost_01,eha2r_005_repost_02,eha2r_005_context_06,eha2r_005_context_07,eha2r_005_context_08,eha2r_005_context_09,eha2r_005_context_10,eha2r_005_context_11",1.0,1.0,1.0,0.3333333333333333,9,3.2516291673878226,2,0.3333333333333333,0
eha2r_005,clean_control,1,True,primary_preserve_top8,8,"eha2r_005_primary_a,eha2r_005_primary_b,eha2r_005_pollutant_root,eha2r_005_repost_00,eha2r_005_repost_01,eha2r_005_repost_02,eha2r_005_context_06,eha2r_005_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_005,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_005_pollutant_root,eha2r_005_primary_a,eha2r_005_repost_00,eha2r_005_context_06,eha2r_005_primary_b,eha2r_005_repost_01,eha2r_005_repost_02,eha2r_005_context_07",1.0,1.0,1.0,0.5,5,2.75,2,0.5,0
eha2r_005,clean_control,1,True,hygienic_combo_top8,8,"eha2r_005_primary_a,eha2r_005_primary_b,eha2r_005_pollutant_root,eha2r_005_repost_02,eha2r_005_repost_01,eha2r_005_context_13,eha2r_005_context_12,eha2r_005_context_11",1.0,1.0,1.0,0.375,6,2.75,2,0.375,0
eha2r_005,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_005_pollutant_root,eha2r_005_primary_a,eha2r_005_primary_b,eha2r_005_context_06,eha2r_005_context_07,eha2r_005_context_08,eha2r_005_context_09,eha2r_005_context_10",1.0,1.0,1.0,0.125,8,2.75,2,0.125,0
eha2r_006,clean_control,1,True,bm25_top8,8,"eha2r_006_pollutant_root,eha2r_006_primary_a,eha2r_006_primary_b,eha2r_006_repost_00,eha2r_006_repost_01,eha2r_006_repost_02,eha2r_006_repost_03,eha2r_006_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_006,clean_control,1,True,bm25_top12,12,"eha2r_006_pollutant_root,eha2r_006_primary_a,eha2r_006_primary_b,eha2r_006_repost_00,eha2r_006_repost_01,eha2r_006_repost_02,eha2r_006_repost_03,eha2r_006_context_07,eha2r_006_context_08,eha2r_006_context_09,eha2r_006_context_10,eha2r_006_context_11",1.0,1.0,1.0,0.4166666666666667,8,3.0220552088742005,2,0.4166666666666667,0
