model,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_precision,clean_support_recall,polluted_support_rate,rejected_pollutant_rate,dual_role_rate,support_empty_rate,uncertainty_discipline,verification_action_score,exact_target_rate,required_action_recall,cost_usd
claude-opus-4-7,120,0.31666666666666665,0.31666666666666665,1.0,0.9333333333333333,0.4807692307692308,0.5208333333333334,0.45,0.4,0.041666666666666664,0.13333333333333333,0.9333333333333333,0.875,1.0,0.875,0.0014752416666666665
deepseek-v4-pro,120,0.23333333333333334,0.23333333333333334,1.0,0.6583333333333333,0.44144144144144143,0.5208333333333334,0.5166666666666667,0.275,0.0,0.075,0.6583333333333333,0.6875,1.0,0.6875,0.004245
gemini-3.1-pro-preview,120,0.43333333333333335,0.43333333333333335,1.0,0.9166666666666666,0.8428571428571429,0.9375,0.125,0.7333333333333333,0.0,0.125,0.9166666666666666,0.8125,1.0,0.8125,0.00396151875
gpt-5.5,120,0.525,0.525,1.0,0.9916666666666667,0.7541666666666667,1.0,0.16666666666666666,0.8,0.0,0.0,0.9916666666666667,0.7916666666666666,1.0,0.7916666666666666,0.021648916666666667
