comparison,model,view,model_n,model_operational_epistemic_escape,simple_heuristic_operational_epistemic_escape,model_evidence_precision,simple_heuristic_evidence_precision,operational_margin,evidence_precision_margin
model_vs_simple_heuristic,claude-opus-4-7,neutral_metadata_hidden,60,0.3,0.35,0.5,0.5833333333333334,-0.04999999999999999,-0.08333333333333337
model_vs_simple_heuristic,claude-opus-4-7,neutral_metadata_visible,60,0.3333333333333333,0.3333333333333333,0.46296296296296297,0.55,0.0,-0.08703703703703708
model_vs_simple_heuristic,deepseek-v4-pro,neutral_metadata_hidden,60,0.21666666666666667,0.35,0.4351851851851852,0.5833333333333334,-0.1333333333333333,-0.1481481481481482
model_vs_simple_heuristic,deepseek-v4-pro,neutral_metadata_visible,60,0.25,0.3333333333333333,0.4473684210526316,0.55,-0.08333333333333331,-0.10263157894736846
model_vs_simple_heuristic,gemini-3.1-pro-preview,neutral_metadata_hidden,60,0.4166666666666667,0.35,0.8773584905660378,0.5833333333333334,0.06666666666666671,0.2940251572327044
model_vs_simple_heuristic,gemini-3.1-pro-preview,neutral_metadata_visible,60,0.45,0.3333333333333333,0.8076923076923077,0.55,0.1166666666666667,0.25769230769230766
model_vs_simple_heuristic,gpt-5.5,neutral_metadata_hidden,60,0.5166666666666667,0.35,0.7583333333333333,0.5833333333333334,0.16666666666666674,0.17499999999999993
model_vs_simple_heuristic,gpt-5.5,neutral_metadata_visible,60,0.5333333333333333,0.3333333333333333,0.75,0.55,0.2,0.19999999999999996
