strategy,n,parse_success,tool_parse_success,claim_accuracy,diagnostic_macro_f1,stale_recall,conflict_recall,generated_lore_recall,no_primary_precision,citation_laundering_recall,source_independence_accuracy,unsafe_scope_miss_rate,escape_rate,contaminated_citation_rate,compare_versions_rate,useful_compare_versions_rate,trace_rate,search_contradictions_rate,primary_request_rate,hidden_label_leakage,overconfident_wrong_rate,confidence,cost_usd,ece
forced_compare_versions,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.76,0.0,0.24
route_then_answer_v1,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.76,0.0,0.24
static_hygienic_combo,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.24
tool_agent_3call_policy,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.76,0.0,0.24
