flag,tp,fp,fn,tn,precision,recall,f1
stale,42,329,0,13,0.11320754716981132,1.0,0.2033898305084746
conflict,199,78,17,90,0.7184115523465704,0.9212962962962963,0.8073022312373225
generated_lore,48,118,6,212,0.2891566265060241,0.8888888888888888,0.43636363636363634
no_primary,76,23,8,277,0.7676767676767676,0.9047619047619048,0.8306010928961748
citation_laundering,52,287,8,37,0.15339233038348082,0.8666666666666667,0.26065162907268175
false_consensus,150,216,6,12,0.4098360655737705,0.9615384615384616,0.574712643678161
partial_support,3,27,15,339,0.1,0.16666666666666666,0.125
