model,strategy,n,parse_success,verdict_accuracy,evidence_validity,contaminated_citation_rate,rejected_contaminated_rate,independent_evidence_score,provenance_recovery_f1,qips,confidence,polluted_mistake,cost_usd,ece
openai/gpt-5-mini,citation_prompt,12,1.0,0.75,1.0,0.0,0.9166666666666666,1.0,0.8123857623857624,0.0,0.8650000000000001,0.0,0.003521458333333333,0.1150000000000001
openai/gpt-5-mini,evidence_graph_prompt,12,1.0,0.6666666666666666,0.9722222222222222,0.027777777777777776,0.9027777777777778,1.0,0.9010933510933511,0.0,0.8716666666666667,0.08333333333333333,0.003932375,0.20500000000000007
openai/gpt-5-mini,source_independence_prompt,12,1.0,0.75,0.8611111111111112,0.13888888888888887,0.7138888888888889,0.9444444444444445,0.9574074074074074,0.0,0.8558333333333333,0.16666666666666666,0.004511958333333334,0.14250000000000004
openai/gpt-5-mini,topk_rag,12,0.8333333333333334,0.6666666666666666,0.9722222222222222,0.027777777777777776,0.7361111111111112,1.0,0.7743386243386244,0.0,0.7275,0.08333333333333333,0.002945083333333333,0.060833333333333295
