prompt,n,parse_success,tool_parse_success,claim_accuracy,diagnostic_macro_f1,stale_recall,conflict_recall,generated_lore_recall,no_primary_precision,citation_laundering_recall,source_independence_accuracy,unsafe_scope_miss_rate,escape_rate,contaminated_citation_rate,compare_versions_rate,useful_compare_versions_rate,trace_rate,search_contradictions_rate,primary_request_rate,hidden_label_leakage,overconfident_wrong_rate,confidence,cost_usd,ece
evidence_diagnostics_v1,120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7133333333333333,0.0,0.28666666666666674
evidence_diagnostics_v2,120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7133333333333333,0.0,0.28666666666666674
evidence_graph_v3,120,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.21999999999999997
