model,budget_setting,prompt_condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
deepseek-v4-pro,cap_4096_diagnostic,epistemic_hygiene_instruction,20,0.9,0.9,1.0,0.95,1.0,0.95,0.5833333333333333,392.75,39.2,58.7,18.5,0.0,0.004116949999999999
deepseek-v4-pro,cap_8192,epistemic_hygiene_instruction,20,0.7,0.8235294117647058,0.85,0.8,1.0,0.8,0.41666666666666663,328.05,39.11764705882353,56.705882352941174,18.705882352941178,0.0,0.00395765
deepseek-v4-pro,no_cap,epistemic_hygiene_instruction,20,0.9,0.9,1.0,0.95,1.0,0.95,0.5,413.8,43.2,62.25,20.0,0.0,0.00412535
kimi-k2.6,cap_4096_diagnostic,epistemic_hygiene_instruction,20,0.25,0.625,0.4,0.4,1.0,0.4,0.25,194.65,47.875,53.75,20.625,0.0,0.008244024999999999
kimi-k2.6,cap_8192,epistemic_hygiene_instruction,20,0.75,0.7894736842105263,0.95,0.9,1.0,0.9,0.3333333333333333,364.3,52.31578947368421,58.89473684210526,17.736842105263158,0.0,0.010108025
kimi-k2.6,no_cap,epistemic_hygiene_instruction,20,0.8,0.8,1.0,0.95,1.0,0.95,0.41666666666666663,384.55,48.75,56.85,18.45,0.0,0.009518225
