module,strategy,n,parse_success,tool_parse_success,claim_accuracy,diagnostic_macro_f1,stale_recall,conflict_recall,generated_lore_recall,no_primary_precision,citation_laundering_recall,source_independence_accuracy,unsafe_scope_miss_rate,escape_rate,contaminated_citation_rate,compare_versions_rate,useful_compare_versions_rate,trace_rate,search_contradictions_rate,primary_request_rate,hidden_label_leakage,overconfident_wrong_rate,confidence,cost_usd,ece
B,forced_compare_versions,60,1.0,1.0,0.9833333333333333,0.2857142857142857,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,0.0,0.9833333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.016666666666666666,0.9313333333333332,0.000549995,0.052000000000000046
B,route_then_answer_v1,60,1.0,1.0,0.9666666666666667,0.2857142857142857,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,0.0,0.95,0.013333333333333334,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.9225,0.00046474,0.05750000000000013
B,static_hygienic_combo,60,1.0,1.0,0.9833333333333333,0.1414427157001414,1.0,1.0,1.0,0.0,1.0,0.15,0.0,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.92,0.00039260250000000004,0.08833333333333328
B,tool_agent_3call_policy,60,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.9666666666666667,0.26666666666666666,0.26666666666666666,0.43333333333333335,0.0,0.0,0.9386666666666666,0.00047681249999999997,0.06133333333333335
C,forced_triage_tools,48,1.0,1.0,0.9375,0.4474867403802048,0.6666666666666666,1.0,1.0,0.2608695652173913,0.875,0.16666666666666666,0.0,0.6041666666666666,0.234375,0.125,0.125,0.3333333333333333,0.5,1.0,0.0,0.041666666666666664,0.765625,0.000563003125,0.20104166666666656
C,route_then_answer_v1,48,1.0,1.0,0.9583333333333334,0.41418262283237617,1.0,0.9285714285714286,1.0,0.2608695652173913,0.75,0.16666666666666666,0.0,0.6875,0.30052083333333335,0.4791666666666667,0.3541666666666667,0.0625,0.2708333333333333,0.5208333333333334,0.0,0.0,0.7760416666666666,0.00055885,0.18229166666666666
C,static_hygienic_combo,48,1.0,1.0,0.9791666666666666,0.4257295426087624,0.6666666666666666,1.0,1.0,0.27906976744186046,0.875,0.16666666666666666,0.020833333333333332,0.75,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7614583333333332,0.00044550624999999995,0.21770833333333328
