prompt,n,parse_success,tool_parse_success,claim_accuracy,diagnostic_macro_f1,stale_recall,conflict_recall,generated_lore_recall,no_primary_precision,citation_laundering_recall,source_independence_accuracy,unsafe_scope_miss_rate,escape_rate,contaminated_citation_rate,compare_versions_rate,useful_compare_versions_rate,trace_rate,search_contradictions_rate,primary_request_rate,hidden_label_leakage,overconfident_wrong_rate,confidence,cost_usd,ece
evidence_diagnostics_v1,120,1.0,1.0,0.39166666666666666,0.5812290351588436,0.9,1.0,1.0,0.38461538461538464,1.0,0.7833333333333333,0.0,0.31666666666666665,0.04922619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.6083333333333333,0.7883333333333333,0.000390555,0.5283333333333333
evidence_graph_v3,120,0.9916666666666667,1.0,0.425,0.3156254371667366,0.0,0.025,0.05,0.8,0.0,0.825,0.44166666666666665,0.36666666666666664,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.8029166666666667,0.0003185,0.5129166666666667
