schema_variant,model,n,parse_success,empty_output,schema_missing,belief_correctness,insufficient_verdict,primary_selected,primary_in_support,polluted_in_support,polluted_rejected,polluted_diagnostic,dual_role_pollutant,action_search_primary,action_trace_source,role_escape,operational_escape_proxy,cost_usd
clarified,gemini-3.1-pro-preview,16,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.875,0.25,0.0,0.5,0.375,1.0,0.875,0.003216328125
clarified,gpt-5.5,16,1.0,0.0,0.0,0.9375,0.5625,0.5,0.4375,0.0,1.0,0.0,0.0,0.5,0.75,0.9375,0.9375,0.0294271875
current,gemini-3.1-pro-preview,16,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.6875,0.375,1.0,0.9375,0.0031265625
current,gpt-5.5,16,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.5,0.6875,1.0,1.0,0.0291140625
diagnostic_no_hygiene,gemini-3.1-pro-preview,16,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.9375,0.125,0.0,0.625,0.1875,1.0,0.875,0.003043578125
diagnostic_no_hygiene,gpt-5.5,16,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.5,0.0305409375
minimal,gemini-3.1-pro-preview,16,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.002404203125
minimal,gpt-5.5,16,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.0172721875
