model,budget_setting,condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,support_empty_rate,evidence_precision,clean_support_recall,rejected_pollutant_rate,dual_role_rate,required_action_recall,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
metadata_only_baseline,opaque_no_api,buried_primary,40,0.4,0.4,1.0,0.0,1.0,0.8,0.2,1.0,0.8,1.0,0.0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
metadata_only_baseline,opaque_no_api,clean,40,0.8,0.8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metadata_only_baseline,opaque_no_api,conflicting_evidence,40,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
metadata_only_baseline,opaque_no_api,false_consensus,40,0.4,0.4,1.0,0.0,1.0,1.0,0.0,1.0,0.9,1.0,0.0,0.5,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
metadata_only_baseline,opaque_no_api,generated_lore,40,0.4,0.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
