model,budget_setting,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,support_empty_rate,evidence_precision,clean_support_recall,rejected_pollutant_rate,dual_role_rate,required_action_recall,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
always_insufficient_baseline,opaque_no_api,200,0.08,0.08,1.0,0.2,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id_only_baseline,opaque_no_api,200,0.08,0.08,1.0,0.2,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metadata_only_baseline,opaque_no_api,200,0.4,0.4,1.0,0.4,1.0,0.96,0.24,1.0,0.8,1.0,0.0,0.4,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
random_valid_schema_baseline,opaque_no_api,200,0.08,0.08,1.0,0.355,0.53,0.63,0.295,0.1099290780141844,0.075,0.475,0.0,0.4375,0.06833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
simple_heuristic_baseline,opaque_no_api,200,0.56,0.56,1.0,0.6,1.0,0.96,0.24,1.0,0.925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
